step,position,chosen_number,system_prompt,objective_score,target_logprob,target_rank,answer
0,-1,,"180, 220, 102, 000, 610, 867, 428, 118, 350, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.8125,-4.09375,8,Dog
1,0,180,"180, 220, 102, 000, 610, 867, 428, 118, 350, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.8125,-4.09375,8,Dog
2,1,220,"180, 220, 102, 000, 610, 867, 428, 118, 350, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.8125,-4.09375,8,Dog
3,2,102,"180, 220, 102, 000, 610, 867, 428, 118, 350, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.8125,-4.09375,8,Dog
4,3,000,"180, 220, 102, 000, 610, 867, 428, 118, 350, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.8125,-4.09375,8,Dog
5,4,610,"180, 220, 102, 000, 610, 867, 428, 118, 350, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.8125,-4.09375,8,Dog
6,5,867,"180, 220, 102, 000, 610, 867, 428, 118, 350, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.8125,-4.09375,8,Dog
7,6,428,"180, 220, 102, 000, 610, 867, 428, 118, 350, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.8125,-4.09375,8,Dog
8,7,118,"180, 220, 102, 000, 610, 867, 428, 118, 350, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.8125,-4.09375,8,Dog
9,8,175,"180, 220, 102, 000, 610, 867, 428, 118, 175, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.6875,-3.9375,8,Dog
10,9,922,"180, 220, 102, 000, 610, 867, 428, 118, 175, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.6875,-3.9375,8,Dog
11,10,727,"180, 220, 102, 000, 610, 867, 428, 118, 175, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.6875,-3.9375,8,Dog
12,11,007,"180, 220, 102, 000, 610, 867, 428, 118, 175, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.6875,-3.9375,8,Dog
13,12,007,"180, 220, 102, 000, 610, 867, 428, 118, 175, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.6875,-3.9375,8,Dog
14,13,370,"180, 220, 102, 000, 610, 867, 428, 118, 175, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.6875,-3.9375,8,Dog
15,14,329,"180, 220, 102, 000, 610, 867, 428, 118, 175, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.6875,-3.9375,8,Dog
16,15,225,"180, 220, 102, 000, 610, 867, 428, 118, 175, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.6875,-3.9375,8,Dog
17,16,135,"180, 220, 102, 000, 610, 867, 428, 118, 175, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.6875,-3.9375,8,Dog
18,17,098,"180, 220, 102, 000, 610, 867, 428, 118, 175, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.6875,-3.9375,8,Dog
19,18,007,"180, 220, 102, 000, 610, 867, 428, 118, 175, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.6875,-3.9375,8,Dog
20,19,723,"180, 220, 102, 000, 610, 867, 428, 118, 175, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.6875,-3.9375,8,Dog
