method,source,step,objective_score,target_logprob,target_rank,answer,system_prompt
ADC,bear_len30_top4_rank1_adc_gpu4.csv,50,-2.0546875,-2.64453125,5,Dog,"007, 175, 140, 542, 000, 334, 767, 752, 871, 428, 580, 444, 477, 007, 786, 786, 786, 370, 329, 953, 229, 353, 227, 225, 129, 435, 007, 580, 230, 503"
I-GCG,bear_len30_top4_rank1_igcg_gpu0.csv,30,-2.109375,-2.607421875,5,Dog,"007, 175, 140, 542, 000, 334, 767, 702, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 375, 229, 353, 135, 225, 125, 723, 007, 953, 230, 073"
GA,rank1,0,-2.3359375,,,,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 227, 225, 143, 435, 007, 953, 230, 073"
ADC,bear_len30_top4_rank2_adc_gpu5.csv,47,-2.7421875,-3.16796875,6,I don't have a favorite animal.,"401, 401, 191, 962, 666, 000, 870, 428, 922, 727, 007, 007, 606, 870, 823, 427, 429, 201, 953, 883, 853, 777, 370, 135, 217, 007, 329, 200, 010, 201"
I-GCG,bear_len30_top4_rank2_igcg_gpu1.csv,3,-2.78125,-3.216796875,6,I don't have a favorite animal.,"401, 401, 191, 962, 666, 000, 870, 428, 922, 727, 007, 007, 606, 870, 823, 427, 353, 201, 953, 883, 853, 777, 370, 135, 217, 007, 329, 200, 010, 201"
ADC,bear_len30_top4_rank4_adc_gpu7.csv,60,-2.8125,-3.2890625,6,I don't have a favorite animal.,"115, 115, 458, 593, 228, 000, 171, 428, 866, 370, 370, 370, 352, 457, 232, 370, 953, 020, 033, 098, 213, 019, 010, 099, 001, 127, 566, 370, 225, 095"
GA,rank4,0,-2.8359375,,,,"401, 401, 191, 962, 666, 000, 870, 428, 922, 727, 007, 007, 606, 870, 823, 427, 353, 201, 953, 653, 853, 777, 370, 135, 217, 007, 329, 200, 010, 201"
ADC,bear_len30_top4_rank3_adc_gpu6.csv,51,-3.140625,-3.509765625,8,I don't have a favorite animal.,"401, 401, 255, 112, 000, 610, 466, 653, 871, 428, 007, 007, 353, 934, 125, 767, 767, 370, 435, 329, 772, 229, 007, 007, 870, 580, 385, 098, 401, 305"
I-GCG,bear_len30_top4_rank3_igcg_gpu2.csv,60,-3.421875,-3.783203125,9,I don't have a favorite animal.,"401, 401, 255, 112, 000, 108, 736, 653, 871, 428, 007, 007, 043, 918, 132, 767, 767, 370, 429, 225, 232, 229, 007, 007, 870, 580, 385, 098, 902, 305"
GA,rank3,0,-3.6875,,,,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 353, 549, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 232, 385, 098, 908, 305"
I-GCG,bear_len30_top4_rank4_igcg_gpu3.csv,59,-3.953125,-4.1640625,12,I don't have a favorite animal.,"115, 115, 197, 842, 213, 000, 281, 428, 103, 370, 370, 370, 953, 033, 132, 370, 128, 058, 035, 098, 018, 110, 010, 099, 001, 127, 566, 370, 225, 213"
GA,rank6,0,-4.0703125,,,,"115, 115, 197, 842, 213, 000, 285, 428, 103, 370, 370, 370, 953, 329, 232, 370, 128, 058, 033, 098, 038, 019, 010, 099, 001, 127, 566, 370, 225, 213"
