generation,system_prompt,objective_score,target_logprob,target_rank,answer
0,"110, 012, 147, 732, 511, 823, 376, 823, 596, 494, 988, 906, 274, 406, 923, 512, 797, 070, 241, 094, 866, 557, 274, 141, 817, 449, 767, 691, 206, 723",-8.90625,-8.9296875,57,
1,"218, 882, 098, 458, 210, 855, 808, 326, 871, 414, 000, 231, 773, 191, 109, 828, 424, 116, 375, 821, 841, 155, 058, 476, 305, 218, 172, 998, 776, 298",-8.5625,,,
2,"401, 098, 730, 062, 889, 261, 485, 749, 144, 043, 940, 756, 502, 011, 862, 015, 157, 618, 688, 687, 015, 735, 178, 602, 455, 512, 884, 110, 392, 143",-8.1796875,,,
3,"131, 870, 000, 460, 947, 388, 893, 223, 015, 043, 580, 916, 335, 558, 481, 196, 119, 560, 064, 730, 215, 735, 786, 133, 025, 194, 869, 605, 600, 310",-7.625,,,
4,"131, 870, 000, 460, 947, 388, 893, 223, 015, 043, 580, 916, 335, 558, 481, 196, 119, 560, 064, 730, 215, 735, 786, 133, 025, 194, 869, 605, 600, 310",-7.625,,,
5,"131, 098, 000, 460, 816, 015, 893, 223, 015, 043, 580, 916, 129, 228, 481, 196, 048, 560, 064, 180, 215, 385, 786, 133, 025, 194, 221, 169, 072, 663",-7.4140625,,,
6,"401, 098, 681, 460, 543, 388, 000, 285, 015, 326, 078, 552, 316, 002, 541, 196, 119, 135, 687, 818, 215, 610, 786, 073, 428, 194, 869, 110, 600, 310",-7.28125,,,
7,"401, 098, 000, 960, 758, 534, 559, 223, 892, 558, 442, 248, 350, 073, 045, 763, 908, 148, 283, 730, 237, 385, 660, 029, 050, 003, 235, 248, 964, 101",-7.15625,,,
8,"401, 098, 000, 362, 000, 216, 171, 654, 936, 092, 000, 522, 076, 807, 109, 763, 356, 816, 685, 838, 613, 170, 551, 695, 025, 025, 075, 098, 273, 101",-6.890625,,,
9,"401, 098, 000, 362, 000, 216, 559, 677, 936, 429, 000, 522, 763, 807, 244, 763, 674, 816, 401, 838, 613, 170, 551, 695, 025, 218, 075, 098, 273, 101",-6.84375,,,
10,"401, 098, 000, 362, 000, 934, 559, 285, 144, 429, 000, 522, 763, 807, 244, 763, 356, 400, 401, 838, 154, 610, 673, 476, 218, 218, 075, 098, 273, 101",-6.8046875,,,
11,"401, 098, 000, 362, 000, 934, 893, 285, 144, 429, 000, 522, 076, 807, 109, 763, 705, 816, 401, 838, 613, 170, 551, 476, 218, 218, 075, 098, 273, 101",-6.7265625,,,
12,"401, 098, 000, 690, 000, 425, 000, 654, 788, 326, 000, 934, 960, 141, 522, 015, 956, 180, 867, 838, 218, 385, 786, 954, 046, 194, 986, 098, 050, 101",-6.59375,,,
