rank,system_prompt,objective_score
1,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 227, 225, 143, 435, 007, 953, 230, 073",-2.3359375
2,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 953, 853, 225, 143, 435, 007, 953, 230, 073",-2.3515625
3,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 170, 225, 143, 435, 007, 953, 230, 073",-2.3515625
4,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 330, 225, 143, 435, 007, 225, 230, 073",-2.3515625
5,"007, 175, 120, 542, 000, 334, 767, 702, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 375, 225, 143, 435, 007, 953, 230, 769",-2.3515625
6,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 232, 225, 143, 435, 007, 325, 230, 073",-2.359375
7,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 853, 225, 143, 435, 007, 175, 230, 073",-2.359375
8,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 953, 229, 353, 853, 225, 143, 435, 007, 953, 230, 073",-2.359375
9,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 953, 853, 225, 143, 435, 007, 953, 230, 329",-2.3671875
10,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 132, 225, 143, 435, 007, 325, 230, 073",-2.375
11,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 283, 225, 143, 435, 007, 953, 230, 073",-2.375
12,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 138, 225, 143, 435, 007, 953, 230, 073",-2.375
13,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 139, 953, 375, 225, 143, 435, 007, 953, 230, 769",-2.375
14,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 375, 225, 143, 435, 007, 098, 230, 073",-2.3828125
15,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 375, 225, 143, 435, 007, 035, 230, 073",-2.3828125
16,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 328, 225, 143, 435, 007, 953, 230, 767",-2.3828125
17,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 157, 225, 143, 435, 007, 953, 230, 073",-2.3828125
18,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 953, 853, 225, 143, 435, 007, 370, 230, 073",-2.3828125
19,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 123, 225, 143, 435, 007, 953, 230, 767",-2.3828125
20,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 122, 218, 143, 435, 007, 225, 230, 073",-2.3828125
21,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 416, 225, 143, 435, 007, 225, 230, 073",-2.390625
22,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 125, 225, 143, 435, 007, 953, 230, 767",-2.390625
23,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 303, 225, 143, 435, 007, 225, 230, 073",-2.390625
24,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 227, 225, 143, 435, 007, 953, 230, 763",-2.390625
25,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 178, 225, 143, 435, 007, 953, 230, 073",-2.390625
26,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 281, 225, 143, 435, 007, 225, 230, 073",-2.3984375
27,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 953, 853, 225, 143, 435, 007, 870, 230, 073",-2.3984375
28,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 170, 225, 143, 435, 007, 197, 230, 073",-2.3984375
29,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 275, 229, 353, 132, 225, 143, 435, 007, 225, 230, 073",-2.3984375
30,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 473, 225, 143, 435, 007, 225, 230, 073",-2.3984375
31,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 135, 277, 229, 353, 329, 225, 143, 435, 007, 225, 230, 073",-2.40625
32,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 295, 225, 143, 435, 007, 953, 230, 073",-2.40625
33,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 325, 229, 353, 170, 225, 143, 435, 007, 953, 230, 073",-2.40625
34,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 375, 225, 143, 435, 007, 304, 230, 073",-2.40625
35,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 227, 225, 143, 435, 007, 325, 230, 073",-2.40625
36,"007, 154, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 444, 229, 353, 375, 225, 143, 435, 007, 225, 230, 073",-2.40625
37,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 170, 225, 143, 435, 007, 099, 230, 073",-2.40625
38,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 953, 229, 353, 853, 225, 143, 435, 007, 220, 230, 073",-2.40625
39,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 305, 225, 143, 435, 007, 953, 230, 073",-2.40625
40,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 853, 225, 143, 435, 007, 953, 230, 073",-2.4140625
41,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 441, 225, 143, 435, 007, 225, 230, 073",-2.4140625
42,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 853, 225, 171, 435, 007, 325, 230, 073",-2.4140625
43,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 353, 353, 170, 225, 143, 435, 007, 325, 230, 073",-2.4140625
44,"007, 175, 120, 542, 000, 334, 767, 702, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 345, 225, 143, 435, 007, 953, 230, 073",-2.4140625
45,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 346, 225, 143, 435, 007, 953, 230, 767",-2.4140625
46,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 203, 953, 853, 225, 143, 435, 007, 953, 230, 073",-2.4140625
47,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 148, 353, 138, 225, 143, 435, 007, 953, 230, 073",-2.4140625
48,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 381, 225, 143, 435, 007, 953, 230, 073",-2.4140625
49,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 853, 225, 143, 435, 007, 610, 230, 073",-2.421875
50,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 853, 225, 143, 435, 007, 144, 230, 073",-2.4296875
51,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 347, 225, 143, 435, 007, 225, 230, 073",-2.4296875
52,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 483, 983, 353, 375, 225, 143, 435, 007, 225, 230, 073",-2.4296875
53,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 381, 225, 143, 435, 007, 325, 230, 073",-2.4296875
54,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 382, 225, 143, 435, 007, 953, 230, 073",-2.4296875
55,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 375, 225, 143, 435, 007, 218, 230, 073",-2.4296875
56,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 185, 229, 353, 441, 225, 143, 435, 007, 225, 230, 073",-2.4296875
57,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 313, 229, 353, 375, 225, 143, 435, 007, 953, 230, 769",-2.4296875
