generation,system_prompt,objective_score,target_logprob,target_rank,answer
0,"876, 263, 041, 018, 834, 438, 171, 056, 517, 617, 912, 484, 350, 907, 506, 328, 129, 483, 440, 014, 093, 141, 690, 883, 563, 965, 994, 342, 154, 632, 882, 219, 494, 073, 372, 912, 794, 005, 454, 395, 621, 803, 986, 454, 989, 731, 474, 845, 200, 671",-9.84375,,,
1,"189, 394, 098, 820, 372, 091, 101, 438, 447, 244, 276, 120, 456, 140, 279, 885, 033, 993, 349, 318, 523, 286, 097, 058, 310, 333, 816, 522, 470, 723, 944, 242, 769, 753, 814, 509, 126, 074, 971, 407, 708, 626, 886, 964, 909, 968, 995, 298, 204, 301",-9.5234375,,,
2,"458, 007, 043, 576, 818, 963, 168, 404, 974, 324, 994, 830, 141, 858, 849, 160, 471, 888, 403, 471, 826, 038, 612, 664, 995, 033, 895, 445, 739, 144, 645, 281, 171, 563, 315, 476, 193, 679, 473, 607, 614, 539, 434, 228, 429, 291, 438, 698, 716, 100",-9.3359375,,,
3,"149, 007, 098, 820, 000, 897, 101, 062, 668, 195, 276, 220, 558, 503, 678, 549, 185, 330, 095, 318, 523, 176, 577, 058, 310, 641, 702, 932, 470, 364, 584, 242, 868, 753, 162, 794, 879, 382, 454, 615, 445, 678, 910, 964, 230, 968, 588, 571, 200, 101",-9.0234375,,,
4,"876, 007, 098, 386, 000, 341, 101, 619, 447, 171, 234, 929, 071, 241, 683, 373, 566, 060, 639, 366, 523, 687, 577, 808, 549, 873, 427, 522, 172, 364, 944, 553, 788, 128, 596, 436, 356, 453, 971, 760, 309, 175, 497, 900, 230, 342, 586, 331, 200, 101",-8.609375,,,
5,"876, 007, 098, 820, 000, 247, 405, 982, 668, 958, 276, 220, 350, 503, 111, 549, 330, 330, 095, 486, 523, 176, 577, 058, 310, 641, 337, 932, 850, 364, 292, 380, 494, 725, 372, 794, 356, 104, 967, 615, 621, 678, 433, 964, 230, 968, 588, 898, 200, 101",-8.5390625,,,
6,"876, 000, 098, 637, 000, 297, 171, 091, 021, 628, 140, 758, 684, 042, 124, 328, 863, 483, 570, 376, 703, 461, 856, 232, 228, 808, 888, 194, 154, 613, 926, 885, 469, 619, 947, 810, 794, 637, 282, 768, 266, 092, 433, 520, 464, 016, 266, 944, 200, 101",-8.25,,,
7,"876, 000, 652, 561, 000, 943, 171, 721, 173, 982, 393, 220, 671, 042, 727, 035, 863, 483, 085, 318, 622, 470, 568, 883, 246, 004, 401, 932, 470, 236, 337, 885, 932, 508, 012, 788, 703, 776, 870, 615, 266, 581, 910, 767, 922, 787, 900, 098, 200, 101",-8.1015625,,,
8,"189, 098, 098, 386, 000, 092, 171, 056, 447, 828, 697, 552, 350, 386, 727, 247, 033, 110, 424, 318, 523, 960, 389, 808, 571, 042, 895, 482, 613, 504, 337, 248, 438, 461, 709, 486, 513, 282, 132, 630, 708, 880, 986, 684, 989, 811, 824, 098, 200, 101",-8.0390625,,,
9,"876, 000, 666, 934, 000, 876, 171, 715, 021, 982, 437, 441, 504, 907, 441, 119, 755, 130, 175, 318, 370, 097, 207, 058, 741, 999, 235, 054, 789, 814, 944, 477, 876, 619, 728, 810, 737, 813, 282, 768, 309, 092, 929, 822, 238, 985, 004, 727, 200, 097",-7.8984375,,,
