length,method,chosen_number,system_prompt,logprob_score,answer
0,empty_baseline,,,-8.75,Dog.
1,greedy,007,007,-7.78125,Dog
2,greedy,300,"007, 300",-8.125,Dog
3,greedy,999,"007, 300, 999",-7.9375,Dog.
4,greedy,074,"007, 300, 999, 074",-8.1875,Dog.
5,greedy,098,"007, 300, 999, 074, 098",-8.625,Dog.
6,greedy,000,"007, 300, 999, 074, 098, 000",-8.25,Dog.
7,greedy,094,"007, 300, 999, 074, 098, 000, 094",-8.0,Dog.
8,greedy,096,"007, 300, 999, 074, 098, 000, 094, 096",-8.4375,Dog.
9,greedy,101,"007, 300, 999, 074, 098, 000, 094, 096, 101",-8.3125,Dog.
10,greedy,098,"007, 300, 999, 074, 098, 000, 094, 096, 101, 098",-8.3125,Dog.
11,greedy,085,"007, 300, 999, 074, 098, 000, 094, 096, 101, 098, 085",-8.5,Dog.
12,greedy,099,"007, 300, 999, 074, 098, 000, 094, 096, 101, 098, 085, 099",-8.375,Dog.
13,greedy,095,"007, 300, 999, 074, 098, 000, 094, 096, 101, 098, 085, 099, 095",-8.1875,Dog.
14,greedy,076,"007, 300, 999, 074, 098, 000, 094, 096, 101, 098, 085, 099, 095, 076",-8.3125,Dog
15,greedy,097,"007, 300, 999, 074, 098, 000, 094, 096, 101, 098, 085, 099, 095, 076, 097",-8.5,Dog.
16,greedy,067,"007, 300, 999, 074, 098, 000, 094, 096, 101, 098, 085, 099, 095, 076, 097, 067",-8.375,Dog.
17,greedy,007,"007, 300, 999, 074, 098, 000, 094, 096, 101, 098, 085, 099, 095, 076, 097, 067, 007",-8.4375,Dog
18,greedy,001,"007, 300, 999, 074, 098, 000, 094, 096, 101, 098, 085, 099, 095, 076, 097, 067, 007, 001",-8.6875,Dog.
19,greedy,009,"007, 300, 999, 074, 098, 000, 094, 096, 101, 098, 085, 099, 095, 076, 097, 067, 007, 001, 009",-8.6875,Dog.
20,greedy,094,"007, 300, 999, 074, 098, 000, 094, 096, 101, 098, 085, 099, 095, 076, 097, 067, 007, 001, 009, 094",-8.375,Dog
