length,method,chosen_number,system_prompt,objective_score,target_logprob,target_rank,answer
0,empty_baseline,,,-7.8125,-7.6875,43,Dog.
1,greedy,737,737,-6.0,-5.9375,25,Dog
2,greedy,737,"737, 737",-7.125,-7.09375,32,Dog
3,greedy,198,"737, 737, 198",-6.75,-6.875,32,Dog
4,greedy,094,"737, 737, 198, 094",-7.0625,-7.15625,32,Dog
5,greedy,072,"737, 737, 198, 094, 072",-7.5,-7.5625,37,Dog
6,greedy,180,"737, 737, 198, 094, 072, 180",-7.0625,-7.3125,32,Dog
7,greedy,216,"737, 737, 198, 094, 072, 180, 216",-7.0625,-7.25,32,Dog
8,greedy,010,"737, 737, 198, 094, 072, 180, 216, 010",-7.375,-7.71875,38,Dog
9,greedy,230,"737, 737, 198, 094, 072, 180, 216, 010, 230",-7.3125,-7.5625,32,Dog
10,greedy,377,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377",-7.375,-7.46875,36,Dog
11,greedy,101,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101",-7.5,-7.6875,38,Dog
12,greedy,025,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025",-7.375,-7.6875,38,Dog
13,greedy,101,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101",-6.9375,-7.09375,28,Dog
14,greedy,100,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100",-7.1875,-7.25,36,Dog
15,greedy,025,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025",-7.25,-7.5,35,Dog
16,greedy,737,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737",-7.0,-7.125,31,Dog
17,greedy,175,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175",-7.25,-7.46875,33,Dog
18,greedy,222,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222",-7.375,-7.5625,39,Dog
19,greedy,215,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215",-6.9375,-7.0,32,Dog
20,greedy,073,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073",-6.9375,-7.1875,34,Dog
21,greedy,100,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100",-7.25,-7.34375,35,Dog
22,greedy,200,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200",-6.9375,-7.0625,33,Dog
23,greedy,097,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097",-6.9375,-7.21875,35,Dog
24,greedy,073,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073",-7.1875,-7.40625,38,Dog
25,greedy,123,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123",-7.1875,-7.375,35,Dog
26,greedy,213,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213",-7.0,-7.15625,34,Dog
27,greedy,225,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225",-7.4375,-7.5625,38,Dog
28,greedy,999,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225, 999",-7.0625,-7.25,34,Dog
29,greedy,217,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225, 999, 217",-7.1875,-7.28125,34,Dog
30,greedy,025,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225, 999, 217, 025",-7.1875,-7.4375,35,Dog
31,greedy,101,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225, 999, 217, 025, 101",-7.1875,-7.4375,35,Dog
32,greedy,217,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225, 999, 217, 025, 101, 217",-7.0625,-7.21875,34,Dog
33,greedy,233,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225, 999, 217, 025, 101, 217, 233",-7.3125,-7.75,42,Dog
34,greedy,097,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225, 999, 217, 025, 101, 217, 233, 097",-7.5,-7.625,37,Dog
35,greedy,073,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225, 999, 217, 025, 101, 217, 233, 097, 073",-7.4375,-7.5625,38,Dog
36,greedy,225,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225, 999, 217, 025, 101, 217, 233, 097, 073, 225",-7.5625,-7.84375,40,Dog
37,greedy,025,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225, 999, 217, 025, 101, 217, 233, 097, 073, 225, 025",-7.8125,-7.96875,46,Dog
38,greedy,215,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225, 999, 217, 025, 101, 217, 233, 097, 073, 225, 025, 215",-7.5625,-7.71875,40,Dog
39,greedy,223,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225, 999, 217, 025, 101, 217, 233, 097, 073, 225, 025, 215, 223",-7.6875,-7.875,43,Dog
40,greedy,101,"737, 737, 198, 094, 072, 180, 216, 010, 230, 377, 101, 025, 101, 100, 025, 737, 175, 222, 215, 073, 100, 200, 097, 073, 123, 213, 225, 999, 217, 025, 101, 217, 233, 097, 073, 225, 025, 215, 223, 101",-7.8125,-8.0,42,Dog
