length,method,chosen_number,system_prompt,objective_score,target_logprob,target_rank,answer
0,empty_baseline,,,-8.8125,-8.75,71,Dog.
1,greedy,007,007,-7.6875,-7.6875,53,Dog
2,greedy,300,"007, 300",-8.125,-8.0625,63,Dog
3,greedy,999,"007, 300, 999",-7.9375,-7.875,55,Dog.
4,greedy,074,"007, 300, 999, 074",-8.1875,-8.3125,60,Dog.
5,greedy,094,"007, 300, 999, 074, 094",-8.625,-8.75,65,Dog.
6,greedy,000,"007, 300, 999, 074, 094, 000",-8.375,-8.4375,55,Dog.
7,greedy,098,"007, 300, 999, 074, 094, 000, 098",-8.125,-8.0625,46,Dog.
8,greedy,012,"007, 300, 999, 074, 094, 000, 098, 012",-8.5625,-8.875,64,Dog.
9,greedy,101,"007, 300, 999, 074, 094, 000, 098, 012, 101",-8.5,-8.6875,53,Dog.
10,greedy,108,"007, 300, 999, 074, 094, 000, 098, 012, 101, 108",-8.4375,-8.5625,51,Dog.
11,greedy,097,"007, 300, 999, 074, 094, 000, 098, 012, 101, 108, 097",-8.3125,-8.625,58,Dog.
12,greedy,096,"007, 300, 999, 074, 094, 000, 098, 012, 101, 108, 097, 096",-8.375,-8.25,53,Dog.
13,greedy,077,"007, 300, 999, 074, 094, 000, 098, 012, 101, 108, 097, 096, 077",-8.0,-8.25,52,Dog.
14,greedy,085,"007, 300, 999, 074, 094, 000, 098, 012, 101, 108, 097, 096, 077, 085",-8.25,-8.3125,54,Dog.
15,greedy,076,"007, 300, 999, 074, 094, 000, 098, 012, 101, 108, 097, 096, 077, 085, 076",-8.5625,-8.8125,63,Dog.
16,greedy,007,"007, 300, 999, 074, 094, 000, 098, 012, 101, 108, 097, 096, 077, 085, 076, 007",-8.25,-8.375,47,Dog.
17,greedy,099,"007, 300, 999, 074, 094, 000, 098, 012, 101, 108, 097, 096, 077, 085, 076, 007, 099",-8.25,-8.4375,49,Dog.
18,greedy,094,"007, 300, 999, 074, 094, 000, 098, 012, 101, 108, 097, 096, 077, 085, 076, 007, 099, 094",-8.625,-8.8125,60,Dog.
19,greedy,097,"007, 300, 999, 074, 094, 000, 098, 012, 101, 108, 097, 096, 077, 085, 076, 007, 099, 094, 097",-8.5625,-8.625,54,Dog.
20,greedy,009,"007, 300, 999, 074, 094, 000, 098, 012, 101, 108, 097, 096, 077, 085, 076, 007, 099, 094, 097, 009",-8.25,-8.4375,56,Dog
