step,system_prompt,objective_score,target_logprob,target_rank,answer
0,"180, 220, 102, 000, 610, 867, 428, 118, 350, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.9375,-4.09375,8,Dog
1,"180, 220, 102, 000, 610, 867, 428, 118, 534, 922, 727, 007, 007, 370, 329, 225, 135, 098, 007, 723",-3.875,-4.03125,9,Dog
2,"180, 220, 102, 000, 610, 867, 428, 118, 549, 922, 727, 007, 007, 370, 580, 325, 135, 098, 007, 723",-3.9375,-4.15625,10,Dog
3,"180, 220, 102, 000, 610, 867, 428, 118, 153, 922, 727, 007, 007, 370, 580, 225, 135, 098, 007, 723",-3.9375,-4.09375,9,Dog
4,"180, 220, 102, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 580, 225, 135, 098, 007, 723",-3.9375,-4.15625,9,Dog
5,"180, 220, 148, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 722, 225, 135, 098, 007, 723",-4.0625,-4.25,10,Dog
6,"180, 220, 160, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 722, 225, 135, 098, 007, 723",-4.0625,-4.25,10,Dog
7,"180, 220, 102, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 722, 225, 135, 098, 007, 723",-3.875,-4.0625,10,Dog
8,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 722, 225, 135, 098, 007, 723",-3.75,-4.03125,10,Dog
9,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 722, 225, 135, 098, 007, 723",-3.75,-4.03125,10,Dog
10,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 722, 225, 135, 098, 007, 723",-3.75,-4.03125,10,Dog
11,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 722, 225, 135, 098, 007, 723",-3.75,-4.03125,10,Dog
12,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 722, 225, 135, 098, 007, 723",-3.75,-4.03125,10,Dog
13,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 722, 225, 135, 098, 007, 723",-3.75,-4.03125,10,Dog
14,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 722, 225, 135, 098, 007, 723",-3.75,-4.03125,10,Dog
15,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
16,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
17,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
18,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
19,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
20,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
21,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
22,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
23,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
24,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
25,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
26,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
27,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
28,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
29,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
30,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
31,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
32,"180, 220, 147, 000, 610, 867, 428, 118, 834, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.921875,9,Dog
33,"180, 220, 147, 000, 610, 867, 428, 118, 389, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.875,-4.09375,9,Dog
34,"180, 220, 147, 000, 610, 867, 428, 118, 381, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.9375,-4.125,9,Dog
35,"180, 220, 147, 000, 610, 867, 428, 118, 778, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.8125,-4.09375,9,Dog
36,"180, 220, 147, 000, 610, 867, 428, 118, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.875,9,Dog
37,"180, 220, 147, 000, 610, 867, 428, 118, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.875,9,Dog
38,"180, 220, 147, 000, 610, 867, 428, 118, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.875,9,Dog
39,"180, 220, 147, 000, 610, 867, 428, 118, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.625,-3.875,9,Dog
40,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
41,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
42,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
43,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
44,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
45,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
46,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
47,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
48,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
49,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
50,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
51,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
52,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
53,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
54,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
55,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
56,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
57,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
58,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
59,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
60,"180, 220, 147, 000, 610, 867, 428, 103, 984, 922, 727, 007, 007, 370, 723, 225, 135, 098, 007, 723",-3.5625,-3.828125,9,Dog
