step,system_prompt,objective_score,target_logprob,target_rank,answer
0,"236, 958, 192, 000, 112, 867, 428, 000, 953, 767, 769, 047, 007, 370, 133, 098, 917, 196, 075, 304",-5.75,-5.84375,24,Dog
1,"236, 958, 192, 000, 112, 867, 428, 000, 953, 767, 857, 047, 007, 370, 667, 098, 917, 196, 075, 304",-5.75,-5.84375,24,Dog
2,"236, 958, 192, 000, 112, 867, 428, 000, 953, 767, 857, 101, 007, 370, 667, 098, 236, 196, 075, 304",-5.6875,-5.75,22,Dog
3,"236, 958, 192, 000, 112, 867, 428, 000, 953, 767, 857, 101, 007, 370, 667, 875, 195, 196, 075, 304",-5.6875,-5.8125,23,Dog
4,"236, 958, 192, 000, 112, 867, 428, 000, 953, 767, 857, 101, 007, 370, 667, 236, 195, 196, 075, 304",-5.75,-5.8125,23,Dog
5,"236, 958, 192, 000, 360, 867, 428, 000, 953, 767, 722, 186, 007, 370, 667, 236, 195, 196, 075, 304",-5.6875,-5.71875,22,Dog
6,"236, 958, 192, 000, 360, 867, 428, 000, 953, 767, 722, 376, 007, 370, 667, 236, 195, 196, 075, 304",-5.75,-5.875,22,Dog
7,"236, 202, 192, 000, 360, 867, 428, 000, 953, 075, 486, 376, 007, 370, 667, 236, 195, 196, 075, 304",-5.625,-5.6875,21,Dog
8,"236, 202, 192, 000, 176, 867, 428, 467, 953, 075, 486, 007, 007, 370, 667, 236, 270, 196, 075, 304",-5.5,-5.59375,22,Dog
9,"236, 202, 230, 000, 176, 867, 428, 518, 953, 075, 876, 007, 007, 370, 667, 236, 270, 196, 075, 304",-5.25,-5.375,19,Dog
10,"236, 202, 230, 000, 176, 867, 428, 518, 953, 075, 876, 007, 007, 370, 667, 236, 270, 196, 075, 304",-5.25,-5.375,19,Dog
11,"236, 202, 230, 000, 176, 867, 428, 518, 953, 075, 876, 007, 007, 370, 667, 236, 270, 196, 075, 304",-5.25,-5.375,19,Dog
12,"236, 202, 230, 000, 176, 867, 428, 518, 953, 075, 876, 007, 007, 370, 667, 236, 270, 196, 075, 304",-5.25,-5.375,19,Dog
13,"236, 202, 230, 000, 176, 867, 428, 518, 953, 075, 876, 007, 007, 370, 667, 236, 270, 196, 075, 304",-5.25,-5.375,19,Dog
14,"236, 202, 230, 000, 176, 867, 428, 518, 953, 075, 876, 007, 007, 370, 667, 236, 195, 196, 075, 304",-5.375,-5.53125,22,Dog
