rank,system_prompt,objective_score
1,"226, 073, 662, 308, 358, 446, 184, 062",-9.0
2,"323, 003, 218, 014, 734, 772, 002, 842",-9.0390625
3,"285, 871, 019, 043, 041, 210, 697, 265",-9.0859375
4,"707, 012, 468, 759, 080, 343, 756, 046",-9.1484375
5,"323, 003, 215, 014, 734, 772, 959, 814",-9.1640625
6,"285, 871, 857, 148, 041, 828, 842, 896",-9.1796875
7,"707, 012, 468, 759, 080, 343, 956, 046",-9.2421875
8,"285, 046, 019, 587, 041, 210, 972, 547",-9.25
9,"277, 841, 191, 225, 627, 813, 492, 487",-9.296875
10,"523, 086, 722, 225, 133, 015, 310, 991",-9.3515625
11,"103, 064, 444, 323, 581, 655, 532, 209",-9.3984375
12,"144, 497, 857, 940, 738, 849, 310, 991",-9.40625
13,"126, 490, 479, 744, 819, 972, 694, 427",-9.4140625
14,"226, 835, 634, 103, 801, 446, 184, 714",-9.4140625
15,"110, 574, 468, 773, 000, 905, 039, 506",-9.4375
16,"467, 812, 365, 084, 332, 627, 184, 062",-9.453125
17,"429, 593, 024, 015, 504, 972, 656, 717",-9.46875
18,"812, 871, 019, 556, 458, 093, 082, 327",-9.4765625
19,"938, 871, 019, 043, 041, 210, 306, 265",-9.4921875
20,"323, 940, 797, 014, 734, 772, 002, 860",-9.5
21,"231, 894, 662, 308, 705, 186, 184, 487",-9.5078125
22,"436, 835, 191, 033, 801, 672, 875, 183",-9.515625
23,"126, 490, 215, 744, 348, 062, 333, 954",-9.515625
24,"261, 692, 162, 865, 165, 350, 542, 256",-9.5234375
25,"126, 812, 215, 084, 819, 627, 959, 434",-9.546875
26,"523, 497, 228, 652, 802, 370, 310, 991",-9.5703125
27,"193, 812, 191, 084, 261, 627, 118, 498",-9.578125
28,"505, 073, 662, 341, 249, 639, 184, 062",-9.578125
29,"938, 812, 083, 937, 332, 627, 118, 860",-9.5859375
30,"277, 119, 618, 225, 380, 939, 174, 506",-9.59375
31,"874, 812, 365, 599, 332, 627, 766, 424",-9.6484375
32,"891, 064, 195, 940, 802, 083, 310, 991",-9.65625
33,"691, 742, 133, 015, 195, 181, 694, 664",-9.671875
34,"429, 593, 636, 100, 195, 676, 656, 717",-9.6796875
35,"571, 497, 969, 375, 658, 849, 310, 869",-9.6796875
36,"938, 812, 653, 014, 734, 627, 118, 498",-9.6953125
37,"523, 666, 414, 765, 802, 849, 310, 342",-9.703125
38,"807, 727, 162, 435, 165, 350, 542, 256",-9.703125
39,"571, 428, 790, 678, 960, 581, 147, 869",-9.7109375
40,"747, 322, 920, 375, 960, 025, 931, 573",-9.7265625
41,"723, 127, 560, 132, 834, 338, 483, 573",-9.734375
42,"874, 362, 135, 965, 625, 655, 934, 209",-9.7578125
43,"126, 490, 365, 744, 332, 624, 118, 498",-9.7734375
44,"891, 319, 195, 939, 051, 811, 244, 822",-9.78125
45,"938, 611, 365, 452, 681, 627, 118, 882",-9.7890625
46,"288, 143, 773, 097, 633, 037, 842, 896",-9.8046875
47,"891, 692, 195, 544, 581, 350, 542, 822",-9.8203125
48,"126, 812, 365, 744, 819, 483, 118, 498",-9.859375
49,"333, 343, 857, 478, 411, 972, 842, 896",-9.875
50,"824, 871, 019, 043, 014, 128, 697, 265",-9.90625
51,"545, 345, 829, 616, 355, 117, 317, 158",-9.9140625
52,"873, 847, 722, 341, 380, 813, 174, 720",-9.9921875
53,"848, 841, 191, 001, 608, 672, 901, 342",-10.0234375
54,"699, 400, 425, 920, 561, 986, 648, 085",-10.0234375
55,"203, 437, 414, 940, 802, 186, 310, 487",-10.0546875
56,"941, 742, 133, 014, 734, 972, 694, 842",-10.078125
57,"699, 651, 811, 722, 882, 262, 534, 669",-10.09375
58,"103, 347, 444, 192, 561, 986, 648, 085",-10.109375
59,"848, 666, 722, 225, 608, 813, 715, 123",-10.1171875
60,"070, 091, 695, 100, 195, 121, 153, 716",-10.3046875
61,"314, 478, 218, 610, 103, 772, 400, 204",-10.3125
62,"723, 362, 417, 323, 834, 655, 934, 209",-10.3671875
63,"629, 541, 626, 100, 195, 858, 622, 940",-10.609375
64,"817, 722, 829, 616, 923, 150, 317, 831",-10.6171875
