rank,system_prompt,objective_score
1,"757, 757, 003, 876, 950, 796, 452, 526, 619, 990, 183, 716, 194, 279, 337, 639, 121, 947, 035, 079, 854, 176, 750, 514, 254, 917, 167, 601, 875, 189",-8.40625
2,"225, 198, 784, 146, 843, 212, 758, 591, 749, 181, 428, 156, 368, 805, 551, 042, 515, 542, 972, 225, 376, 917, 467, 324, 322, 736, 453, 236, 522, 221",-8.4296875
3,"225, 009, 598, 146, 052, 212, 159, 523, 691, 003, 428, 640, 300, 496, 848, 801, 413, 582, 972, 225, 685, 807, 144, 582, 044, 103, 128, 236, 963, 009",-8.5390625
4,"225, 004, 521, 845, 070, 969, 758, 521, 975, 622, 015, 130, 018, 976, 141, 834, 515, 376, 972, 225, 685, 178, 003, 320, 294, 902, 143, 236, 963, 664",-8.640625
5,"225, 009, 598, 146, 052, 212, 159, 523, 691, 003, 428, 640, 300, 496, 848, 801, 413, 582, 972, 225, 685, 807, 144, 582, 044, 103, 128, 236, 892, 009",-8.6640625
6,"123, 916, 698, 997, 041, 000, 262, 086, 538, 848, 321, 727, 283, 455, 555, 794, 258, 000, 085, 892, 773, 335, 147, 576, 609, 800, 895, 331, 035, 571",-8.71875
7,"218, 867, 010, 654, 395, 670, 791, 313, 402, 536, 403, 137, 431, 117, 976, 340, 177, 131, 021, 308, 810, 956, 926, 327, 204, 063, 345, 000, 992, 147",-8.7421875
8,"225, 004, 138, 146, 843, 212, 758, 008, 691, 003, 015, 175, 734, 496, 687, 042, 482, 044, 972, 225, 685, 178, 467, 324, 680, 054, 143, 236, 963, 664",-8.75
9,"225, 004, 915, 146, 843, 212, 758, 591, 691, 003, 428, 130, 148, 496, 551, 042, 515, 326, 972, 225, 685, 178, 467, 324, 680, 902, 453, 236, 963, 664",-8.7734375
10,"285, 464, 146, 043, 041, 832, 698, 420, 118, 860, 426, 488, 194, 973, 309, 360, 043, 681, 197, 229, 890, 411, 259, 514, 861, 144, 685, 926, 290, 477",-8.796875
11,"225, 004, 670, 138, 487, 678, 758, 058, 556, 084, 840, 530, 148, 002, 551, 793, 081, 326, 437, 622, 360, 178, 462, 343, 853, 902, 524, 370, 963, 664",-8.8359375
12,"750, 230, 009, 098, 363, 807, 977, 719, 042, 807, 097, 079, 964, 470, 432, 231, 059, 602, 650, 400, 726, 436, 790, 716, 294, 958, 204, 136, 625, 543",-8.84375
13,"225, 945, 801, 978, 865, 919, 503, 226, 849, 537, 740, 400, 857, 793, 551, 042, 944, 326, 270, 225, 225, 916, 599, 324, 845, 441, 314, 593, 132, 461",-8.859375
14,"153, 934, 012, 138, 395, 362, 072, 945, 402, 286, 546, 530, 354, 058, 537, 307, 303, 615, 174, 039, 220, 583, 127, 343, 611, 387, 524, 593, 281, 461",-8.8671875
15,"225, 004, 915, 146, 843, 942, 114, 655, 626, 151, 428, 130, 956, 639, 388, 042, 515, 326, 972, 581, 685, 178, 467, 324, 680, 902, 650, 793, 336, 221",-8.890625
16,"225, 004, 254, 359, 492, 793, 957, 315, 691, 003, 428, 130, 006, 496, 551, 981, 515, 326, 972, 229, 439, 246, 467, 324, 680, 144, 453, 236, 290, 664",-8.8984375
17,"225, 004, 521, 288, 843, 577, 656, 137, 691, 807, 094, 843, 967, 976, 731, 042, 515, 602, 891, 225, 685, 131, 790, 913, 388, 212, 586, 236, 625, 657",-8.90625
18,"225, 004, 009, 591, 843, 927, 758, 591, 239, 648, 086, 891, 191, 496, 551, 231, 653, 326, 972, 225, 685, 178, 467, 324, 051, 902, 453, 236, 291, 789",-8.90625
19,"225, 004, 915, 146, 100, 403, 569, 531, 691, 003, 428, 130, 148, 496, 551, 042, 222, 326, 378, 225, 225, 178, 599, 324, 680, 441, 453, 367, 963, 664",-8.9140625
20,"147, 808, 070, 098, 019, 489, 402, 579, 827, 419, 097, 843, 271, 493, 532, 682, 582, 335, 896, 368, 726, 095, 794, 839, 905, 910, 642, 681, 514, 715",-8.9140625
21,"757, 757, 847, 876, 950, 832, 698, 132, 941, 990, 183, 488, 194, 973, 174, 639, 963, 947, 197, 079, 890, 954, 277, 514, 861, 518, 167, 601, 875, 189",-8.9375
